id,carrera,puntaje,vacante,observacion,segunda_opcion
267648,INGENIERÍA GEOLÓGICA - LIMA,1092.75,13.0,ALCANZO VACANTE PRIMERA OPCIÓN,
271577,INGENIERÍA GEOLÓGICA - LIMA,769.625,,,
246224,INGENIERÍA GEOLÓGICA - LIMA,1197.25,4.0,ALCANZO VACANTE PRIMERA OPCIÓN,
234416,INGENIERÍA GEOLÓGICA - LIMA,753.625,,,
233748,INGENIERÍA GEOLÓGICA - LIMA,872.75,,,
291045,INGENIERÍA GEOLÓGICA - LIMA,574.75,,,
222049,INGENIERÍA GEOLÓGICA - LIMA,1157.25,6.0,ALCANZO VACANTE PRIMERA OPCIÓN,
231372,INGENIERÍA GEOLÓGICA - LIMA,859.25,,,
304931,INGENIERÍA GEOLÓGICA - LIMA,466.875,,,
259915,INGENIERÍA GEOLÓGICA - LIMA,564.875,,,
250849,INGENIERÍA GEOLÓGICA - LIMA,754.75,,,
237825,INGENIERÍA GEOLÓGICA - LIMA,608.25,,,
283031,INGENIERÍA GEOLÓGICA - LIMA,608.0,,,
290648,INGENIERÍA GEOLÓGICA - LIMA,556.125,,,
220779,INGENIERÍA GEOLÓGICA - LIMA,724.875,,,
244519,INGENIERÍA GEOLÓGICA - LIMA,922.625,,,
232510,INGENIERÍA GEOLÓGICA - LIMA,630.5,,,
305769,INGENIERÍA GEOLÓGICA - LIMA,884.875,,,
265503,INGENIERÍA GEOLÓGICA - LIMA,841.5,,,
270276,INGENIERÍA GEOLÓGICA - LIMA,1055.0,17.0,ALCANZO VACANTE PRIMERA OPCIÓN,
238735,INGENIERÍA GEOLÓGICA - LIMA,1095.0,12.0,ALCANZO VACANTE PRIMERA OPCIÓN,
231591,INGENIERÍA GEOLÓGICA - LIMA,630.25,,,
245449,INGENIERÍA GEOLÓGICA - LIMA,405.125,,,
299681,INGENIERÍA GEOLÓGICA - LIMA,573.875,,,
297118,INGENIERÍA GEOLÓGICA - LIMA,652.75,,,
270875,INGENIERÍA GEOLÓGICA - LIMA,901.5,20.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
228802,INGENIERÍA GEOLÓGICA - LIMA,933.875,,,
260572,INGENIERÍA GEOLÓGICA - LIMA,736.125,,,
278801,INGENIERÍA GEOLÓGICA - LIMA,621.5,,,
230202,INGENIERÍA GEOLÓGICA - LIMA,859.25,,,
281106,INGENIERÍA GEOLÓGICA - LIMA,424.625,,,
304586,INGENIERÍA GEOLÓGICA - LIMA,753.625,,,
233260,INGENIERÍA GEOLÓGICA - LIMA,817.0,,,
300259,INGENIERÍA GEOLÓGICA - LIMA,801.5,,,
297452,INGENIERÍA GEOLÓGICA - LIMA,648.0,,,
229547,INGENIERÍA GEOLÓGICA - LIMA,324.625,,,
267206,INGENIERÍA GEOLÓGICA - LIMA,1120.625,9.0,ALCANZO VACANTE PRIMERA OPCIÓN,
226407,INGENIERÍA GEOLÓGICA - LIMA,588.25,,,
300755,INGENIERÍA GEOLÓGICA - LIMA,1118.375,10.0,ALCANZO VACANTE PRIMERA OPCIÓN,
253311,INGENIERÍA GEOLÓGICA - LIMA,1179.5,5.0,ALCANZO VACANTE PRIMERA OPCIÓN,
238407,INGENIERÍA GEOLÓGICA - LIMA,473.625,,,
238693,INGENIERÍA GEOLÓGICA - LIMA,839.25,,,
256151,INGENIERÍA GEOLÓGICA - LIMA,868.5,,,
232417,INGENIERÍA GEOLÓGICA - LIMA,452.5,,,
272496,INGENIERÍA GEOLÓGICA - LIMA,602.625,,,
244894,INGENIERÍA GEOLÓGICA - LIMA,366.25,,,
275958,INGENIERÍA GEOLÓGICA - LIMA,563.5,,,
287403,INGENIERÍA GEOLÓGICA - LIMA,436.75,,,
259169,INGENIERÍA GEOLÓGICA - LIMA,838.125,,,
246385,INGENIERÍA GEOLÓGICA - LIMA,475.0,,,
302107,INGENIERÍA GEOLÓGICA - LIMA,987.125,19.0,ALCANZO VACANTE PRIMERA OPCIÓN,
241948,INGENIERÍA GEOLÓGICA - LIMA,652.5,,,
247234,INGENIERÍA GEOLÓGICA - LIMA,690.25,,,
296282,INGENIERÍA GEOLÓGICA - LIMA,608.5,,,
272350,INGENIERÍA GEOLÓGICA - LIMA,760.375,,,
305017,INGENIERÍA GEOLÓGICA - LIMA,639.25,,,
294689,INGENIERÍA GEOLÓGICA - LIMA,872.75,,,
253256,INGENIERÍA GEOLÓGICA - LIMA,740.375,,,
221558,INGENIERÍA GEOLÓGICA - LIMA,648.0,,,
255860,INGENIERÍA GEOLÓGICA - LIMA,648.0,,,
304096,INGENIERÍA GEOLÓGICA - LIMA,500.125,,,
228156,INGENIERÍA GEOLÓGICA - LIMA,948.25,24.0,ALCANZO VACANTE PRIMERA OPCIÓN,
296980,INGENIERÍA GEOLÓGICA - LIMA,690.25,,,
246252,INGENIERÍA GEOLÓGICA - LIMA,1244.0,3.0,ALCANZO VACANTE PRIMERA OPCIÓN,
233192,INGENIERÍA GEOLÓGICA - LIMA,810.5,,,
282438,INGENIERÍA GEOLÓGICA - LIMA,647.375,,,
287137,INGENIERÍA GEOLÓGICA - LIMA,563.5,,,
255791,INGENIERÍA GEOLÓGICA - LIMA,424.0,,,
255141,INGENIERÍA GEOLÓGICA - LIMA,364.0,,,
251510,INGENIERÍA GEOLÓGICA - LIMA,292.25,,,
241616,INGENIERÍA GEOLÓGICA - LIMA,480.875,,,
298895,INGENIERÍA GEOLÓGICA - LIMA,375.625,,,
308330,INGENIERÍA GEOLÓGICA - LIMA,711.375,,,
279058,INGENIERÍA GEOLÓGICA - LIMA,774.75,,,
246577,INGENIERÍA GEOLÓGICA - LIMA,467.375,,,
256368,INGENIERÍA GEOLÓGICA - LIMA,690.25,,,
238418,INGENIERÍA GEOLÓGICA - LIMA,615.875,,,
240952,INGENIERÍA GEOLÓGICA - LIMA,690.25,,,
239637,INGENIERÍA GEOLÓGICA - LIMA,605.75,,,
293165,INGENIERÍA GEOLÓGICA - LIMA,1302.875,2.0,ALCANZO VACANTE PRIMERA OPCIÓN,
225348,INGENIERÍA GEOLÓGICA - LIMA,1135.0,7.0,ALCANZO VACANTE PRIMERA OPCIÓN,
257216,INGENIERÍA GEOLÓGICA - LIMA,901.5,21.0,ALCANZO VACANTE SEGUNDA OPCIÓN,INGENIERÍA GEOGRÁFICA
262352,INGENIERÍA GEOLÓGICA - LIMA,754.75,,,
226894,INGENIERÍA GEOLÓGICA - LIMA,799.25,,,
224567,INGENIERÍA GEOLÓGICA - LIMA,448.5,,,
270393,INGENIERÍA GEOLÓGICA - LIMA,732.5,,,
288847,INGENIERÍA GEOLÓGICA - LIMA,880.375,,,
233609,INGENIERÍA GEOLÓGICA - LIMA,501.25,,,
280332,INGENIERÍA GEOLÓGICA - LIMA,559.5,,,
255835,INGENIERÍA GEOLÓGICA - LIMA,797.0,,,
229156,INGENIERÍA GEOLÓGICA - LIMA,897.25,,,
236125,INGENIERÍA GEOLÓGICA - LIMA,1131.875,8.0,ALCANZO VACANTE PRIMERA OPCIÓN,
275119,INGENIERÍA GEOLÓGICA - LIMA,692.5,,,
302213,INGENIERÍA GEOLÓGICA - LIMA,632.5,,,
273107,INGENIERÍA GEOLÓGICA - LIMA,633.875,,,
231434,INGENIERÍA GEOLÓGICA - LIMA,605.75,,,
241813,INGENIERÍA GEOLÓGICA - LIMA,750.75,,,
222609,INGENIERÍA GEOLÓGICA - LIMA,475.0,,,
276204,INGENIERÍA GEOLÓGICA - LIMA,566.875,,,
302613,INGENIERÍA GEOLÓGICA - LIMA,880.375,,,
263732,INGENIERÍA GEOLÓGICA - LIMA,277.25,,,
238682,INGENIERÍA GEOLÓGICA - LIMA,943.75,26.0,ALCANZO VACANTE PRIMERA OPCIÓN,
281228,INGENIERÍA GEOLÓGICA - LIMA,648.0,,,
287617,INGENIERÍA GEOLÓGICA - LIMA,473.625,,,
255684,INGENIERÍA GEOLÓGICA - LIMA,692.5,,,
223587,INGENIERÍA GEOLÓGICA - LIMA,766.5,,,
298856,INGENIERÍA GEOLÓGICA - LIMA,690.25,,,
