id,carrera,puntaje,vacante,observacion,segunda_opcion
781555,DERECHO - LIMA,1100.875,,,
758996,DERECHO - LIMA,965.125,,,
708157,DERECHO - LIMA,461.75,,,
759668,DERECHO - LIMA,1165.125,,,
765340,DERECHO - LIMA,924.875,,,
818509,DERECHO - LIMA,1091.625,8.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
709342,DERECHO - LIMA,1260.625,76.0,ALCANZO VACANTE PRIMERA OPCIÓN,
711715,DERECHO - LIMA,611.875,,,
815649,DERECHO - LIMA,708.5,,,
771605,DERECHO - LIMA,606.875,,,
781869,DERECHO - LIMA,784.0,,,
787351,DERECHO - LIMA,608.0,,,
777643,DERECHO - LIMA,1284.0,57.0,ALCANZO VACANTE PRIMERA OPCIÓN,
764210,DERECHO - LIMA,527.125,,,
709799,DERECHO - LIMA,1281.75,63.0,ALCANZO VACANTE PRIMERA OPCIÓN,
831498,DERECHO - LIMA,840.625,,,
767973,DERECHO - LIMA,671.375,,,
745031,DERECHO - LIMA,746.0,,,
757922,DERECHO - LIMA,1097.25,,,
841957,DERECHO - LIMA,818.125,,,
727531,DERECHO - LIMA,1007.125,,,
818996,DERECHO - LIMA,1059.5,,,
841310,DERECHO - LIMA,467.125,,,
776040,DERECHO - LIMA,987.125,,,
810343,DERECHO - LIMA,986.0,,,
778518,DERECHO - LIMA,916.125,,,
760858,DERECHO - LIMA,570.5,,,
734149,DERECHO - LIMA,731.625,,,
762911,DERECHO - LIMA,574.75,,,
704407,DERECHO - LIMA,1138.375,,,
750811,DERECHO - LIMA,753.625,,,
757942,DERECHO - LIMA,406.25,,,
752547,DERECHO - LIMA,785.125,,,
820540,DERECHO - LIMA,631.375,,,
743487,DERECHO - LIMA,740.625,,,
730500,DERECHO - LIMA,848.25,,,
781267,DERECHO - LIMA,901.5,,,
705158,DERECHO - LIMA,599.5,,,
707915,DERECHO - LIMA,987.125,,,
766439,DERECHO - LIMA,817.0,,,
815893,DERECHO - LIMA,735.875,,,
729029,DERECHO - LIMA,926.0,,,
730138,DERECHO - LIMA,1218.375,119.0,ALCANZO VACANTE PRIMERA OPCIÓN,
808705,DERECHO - LIMA,473.625,,,
695694,DERECHO - LIMA,1050.5,20.0,ALCANZO VACANTE SEGUNDA OPCIÓN,ANTROPOLOGÍA
697377,DERECHO - LIMA,1042.875,12.0,ALCANZO VACANTE SEGUNDA OPCIÓN,DERECHO - VILLA RICA
763514,DERECHO - LIMA,439.5,,,
728827,DERECHO - LIMA,809.375,,,
739041,DERECHO - LIMA,1077.25,10.0,ALCANZO VACANTE SEGUNDA OPCIÓN,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
749304,DERECHO - LIMA,428.25,,,
757411,DERECHO - LIMA,923.125,,,
783846,DERECHO - LIMA,521.25,,,
752308,DERECHO - LIMA,498.375,,,
